feature,importance_mean,importance_std
cat__Time_of_Day_Evening,0.013131924223830138,0.009575341112339406
cat__Time_of_Day_Evening,0.007330274576974505,0.003105282853478016
cat__Time_of_Day_Evening,0.00707007850992436,0.0027919458919970492
cat__Time_of_Day_Evening,0.006991750641511607,0.003627245954633103
cat__Time_of_Day_Evening,0.006000361849353019,0.0021432194763030318
cat__Time_of_Day_Evening,0.0049581479377766025,0.004189675401418604
cat__Time_of_Day_Evening,0.004316501566771169,0.0016444640190234712
cat__Time_of_Day_Evening,0.004280648891146166,0.0030257248848040226
cat__Time_of_Day_Evening,0.003707098216041449,0.002567950755046905
cat__Time_of_Day_Evening,0.0037024059848424383,0.0022802581039802474
cat__Time_of_Day_Evening,0.003549768599452241,0.003448589786493564
cat__Time_of_Day_Evening,0.003295539014994797,0.0023951121865785573
cat__Time_of_Day_Evening,0.0022829751841000555,0.0007008009775932819
cat__Time_of_Day_Evening,0.0010791079882856325,0.003989635032948158
cat__Time_of_Day_Evening,-0.00025316202466862947,0.00701415271856659
cat__Time_of_Day_Evening,-0.0007072233503351733,0.0018445824923120078
cat__Time_of_Day_Evening,-0.0007464255381526063,0.0016284358104601182
cat__Time_of_Day_Evening,-0.00143550902657803,0.0008224881803239823
cat__Time_of_Day_Evening,-0.0038520294779818887,0.005971301234586416
cat__Time_of_Day_Evening,-0.0051395722131059255,0.0020722427373442167
cat__Time_of_Day_Evening,-0.005175826183810339,0.004187489730549837
